CVS_file,column,dtype,unique,notnull,isna,description
previous_application,DAYS_LAST_DUE,float64,2873,997149,673065,
previous_application,DAYS_TERMINATION,float64,2830,997149,673065,
previous_application,NFLAG_INSURED_ON_APPROVAL,float64,2,997149,673065,
sample_submission,sample_submission,SK_ID_CURR,int64,48744,48744,0,
sample_submission,TARGET,float64,1,48744,0,
application_train,application_train,SK_ID_CURR,int64,307511,307511,0,
application_train,TARGET,int64,2,307511,0,
application_train,NAME_CONTRACT_TYPE,object,2,307511,0,
application_train,CODE_GENDER,object,3,307511,0,
application_train,FLAG_OWN_CAR,object,2,307511,0,
application_train,FLAG_OWN_REALTY,object,2,307511,0,
application_train,CNT_CHILDREN,int64,15,307511,0,
application_train,AMT_INCOME_TOTAL,float64,2548,307511,0,
application_train,AMT_CREDIT,float64,5603,307511,0,
application_train,AMT_ANNUITY,float64,13672,307499,12,
application_train,AMT_GOODS_PRICE,float64,1002,307233,278,
application_train,NAME_TYPE_SUITE,object,7,306219,1292,
application_train,NAME_INCOME_TYPE,object,8,307511,0,
application_train,NAME_EDUCATION_TYPE,object,5,307511,0,
application_train,NAME_FAMILY_STATUS,object,6,307511,0,
application_train,NAME_HOUSING_TYPE,object,6,307511,0,
application_train,REGION_POPULATION_RELATIVE,float64,81,307511,0,
application_train,DAYS_BIRTH,int64,17460,307511,0,
application_train,DAYS_EMPLOYED,int64,12574,307511,0,
application_train,DAYS_REGISTRATION,float64,15688,307511,0,
application_train,DAYS_ID_PUBLISH,int64,6168,307511,0,
application_train,OWN_CAR_AGE,float64,62,104582,202929,
application_train,FLAG_MOBIL,int64,2,307511,0,
application_train,FLAG_EMP_PHONE,int64,2,307511,0,
application_train,FLAG_WORK_PHONE,int64,2,307511,0,
application_train,FLAG_CONT_MOBILE,int64,2,307511,0,
application_train,FLAG_PHONE,int64,2,307511,0,
application_train,FLAG_EMAIL,int64,2,307511,0,
application_train,OCCUPATION_TYPE,object,18,211120,96391,
application_train,CNT_FAM_MEMBERS,float64,17,307509,2,
application_train,REGION_RATING_CLIENT,int64,3,307511,0,
application_train,REGION_RATING_CLIENT_W_CITY,int64,3,307511,0,
application_train,WEEKDAY_APPR_PROCESS_START,object,7,307511,0,
application_train,HOUR_APPR_PROCESS_START,int64,24,307511,0,
application_train,REG_REGION_NOT_LIVE_REGION,int64,2,307511,0,
application_train,REG_REGION_NOT_WORK_REGION,int64,2,307511,0,
application_train,LIVE_REGION_NOT_WORK_REGION,int64,2,307511,0,
application_train,REG_CITY_NOT_LIVE_CITY,int64,2,307511,0,
application_train,REG_CITY_NOT_WORK_CITY,int64,2,307511,0,
application_train,LIVE_CITY_NOT_WORK_CITY,int64,2,307511,0,
application_train,ORGANIZATION_TYPE,object,58,307511,0,
application_train,EXT_SOURCE_1,float64,114584,134133,173378,
application_train,EXT_SOURCE_2,float64,119831,306851,660,
application_train,EXT_SOURCE_3,float64,814,246546,60965,
application_train,APARTMENTS_AVG,float64,2339,151450,156061,
application_train,BASEMENTAREA_AVG,float64,3780,127568,179943,
application_train,YEARS_BEGINEXPLUATATION_AVG,float64,285,157504,150007,
application_train,YEARS_BUILD_AVG,float64,149,103023,204488,
application_train,COMMONAREA_AVG,float64,3181,92646,214865,
application_train,ELEVATORS_AVG,float64,257,143620,163891,
application_train,ENTRANCES_AVG,float64,285,152683,154828,
application_train,FLOORSMAX_AVG,float64,403,154491,153020,
application_train,FLOORSMIN_AVG,float64,305,98869,208642,
application_train,LANDAREA_AVG,float64,3527,124921,182590,
application_train,LIVINGAPARTMENTS_AVG,float64,1868,97312,210199,
application_train,LIVINGAREA_AVG,float64,5199,153161,154350,
application_train,NONLIVINGAPARTMENTS_AVG,float64,386,93997,213514,
application_train,NONLIVINGAREA_AVG,float64,3290,137829,169682,
application_train,APARTMENTS_MODE,float64,760,151450,156061,
application_train,BASEMENTAREA_MODE,float64,3841,127568,179943,
application_train,YEARS_BEGINEXPLUATATION_MODE,float64,221,157504,150007,
application_train,YEARS_BUILD_MODE,float64,154,103023,204488,
application_train,COMMONAREA_MODE,float64,3128,92646,214865,
application_train,ELEVATORS_MODE,float64,26,143620,163891,
application_train,ENTRANCES_MODE,float64,30,152683,154828,
application_train,FLOORSMAX_MODE,float64,25,154491,153020,
application_train,FLOORSMIN_MODE,float64,25,98869,208642,
application_train,LANDAREA_MODE,float64,3563,124921,182590,
application_train,LIVINGAPARTMENTS_MODE,float64,736,97312,210199,
application_train,LIVINGAREA_MODE,float64,5301,153161,154350,
application_train,NONLIVINGAPARTMENTS_MODE,float64,167,93997,213514,
application_train,NONLIVINGAREA_MODE,float64,3327,137829,169682,
application_train,APARTMENTS_MEDI,float64,1148,151450,156061,
application_train,BASEMENTAREA_MEDI,float64,3772,127568,179943,
application_train,YEARS_BEGINEXPLUATATION_MEDI,float64,245,157504,150007,
application_train,YEARS_BUILD_MEDI,float64,151,103023,204488,
application_train,COMMONAREA_MEDI,float64,3202,92646,214865,
application_train,ELEVATORS_MEDI,float64,46,143620,163891,
application_train,ENTRANCES_MEDI,float64,46,152683,154828,
application_train,FLOORSMAX_MEDI,float64,49,154491,153020,
application_train,FLOORSMIN_MEDI,float64,47,98869,208642,
application_train,LANDAREA_MEDI,float64,3560,124921,182590,
application_train,LIVINGAPARTMENTS_MEDI,float64,1097,97312,210199,
application_train,LIVINGAREA_MEDI,float64,5281,153161,154350,
application_train,NONLIVINGAPARTMENTS_MEDI,float64,214,93997,213514,
application_train,NONLIVINGAREA_MEDI,float64,3323,137829,169682,
application_train,FONDKAPREMONT_MODE,object,4,97216,210295,
application_train,HOUSETYPE_MODE,object,3,153214,154297,
application_train,TOTALAREA_MODE,float64,5116,159080,148431,
application_train,WALLSMATERIAL_MODE,object,7,151170,156341,
application_train,EMERGENCYSTATE_MODE,object,2,161756,145755,
application_train,OBS_30_CNT_SOCIAL_CIRCLE,float64,33,306490,1021,
application_train,DEF_30_CNT_SOCIAL_CIRCLE,float64,10,306490,1021,
application_train,OBS_60_CNT_SOCIAL_CIRCLE,float64,33,306490,1021,
application_train,DEF_60_CNT_SOCIAL_CIRCLE,float64,9,306490,1021,
application_train,DAYS_LAST_PHONE_CHANGE,float64,3773,307510,1,
application_train,FLAG_DOCUMENT_2,int64,2,307511,0,
application_train,FLAG_DOCUMENT_3,int64,2,307511,0,
application_train,FLAG_DOCUMENT_4,int64,2,307511,0,
application_train,FLAG_DOCUMENT_5,int64,2,307511,0,
application_train,FLAG_DOCUMENT_6,int64,2,307511,0,
application_train,FLAG_DOCUMENT_7,int64,2,307511,0,
application_train,FLAG_DOCUMENT_8,int64,2,307511,0,
application_train,FLAG_DOCUMENT_9,int64,2,307511,0,
application_train,FLAG_DOCUMENT_10,int64,2,307511,0,
application_train,FLAG_DOCUMENT_11,int64,2,307511,0,
application_train,FLAG_DOCUMENT_12,int64,2,307511,0,
application_train,FLAG_DOCUMENT_13,int64,2,307511,0,
application_train,FLAG_DOCUMENT_14,int64,2,307511,0,
application_train,FLAG_DOCUMENT_15,int64,2,307511,0,
application_train,FLAG_DOCUMENT_16,int64,2,307511,0,
application_train,FLAG_DOCUMENT_17,int64,2,307511,0,
application_train,FLAG_DOCUMENT_18,int64,2,307511,0,
application_train,FLAG_DOCUMENT_19,int64,2,307511,0,
application_train,FLAG_DOCUMENT_20,int64,2,307511,0,
application_train,FLAG_DOCUMENT_21,int64,2,307511,0,
application_train,AMT_REQ_CREDIT_BUREAU_HOUR,float64,5,265992,41519,
application_train,AMT_REQ_CREDIT_BUREAU_DAY,float64,9,265992,41519,
application_train,AMT_REQ_CREDIT_BUREAU_WEEK,float64,9,265992,41519,
application_train,AMT_REQ_CREDIT_BUREAU_MON,float64,24,265992,41519,
application_train,AMT_REQ_CREDIT_BUREAU_QRT,float64,11,265992,41519,
application_train,AMT_REQ_CREDIT_BUREAU_YEAR,float64,25,265992,41519,
application_test,application_test,SK_ID_CURR,int64,48744,48744,0,
application_test,NAME_CONTRACT_TYPE,object,2,48744,0,
application_test,CODE_GENDER,object,2,48744,0,
application_test,FLAG_OWN_CAR,object,2,48744,0,
application_test,FLAG_OWN_REALTY,object,2,48744,0,
application_test,CNT_CHILDREN,int64,11,48744,0,
application_test,AMT_INCOME_TOTAL,float64,606,48744,0,
application_test,AMT_CREDIT,float64,2937,48744,0,
application_test,AMT_ANNUITY,float64,7491,48720,24,
application_test,AMT_GOODS_PRICE,float64,677,48744,0,
application_test,NAME_TYPE_SUITE,object,7,47833,911,
application_test,NAME_INCOME_TYPE,object,7,48744,0,
application_test,NAME_EDUCATION_TYPE,object,5,48744,0,
application_test,NAME_FAMILY_STATUS,object,5,48744,0,
application_test,NAME_HOUSING_TYPE,object,6,48744,0,
application_test,REGION_POPULATION_RELATIVE,float64,81,48744,0,
application_test,DAYS_BIRTH,int64,15477,48744,0,
application_test,DAYS_EMPLOYED,int64,7863,48744,0,
application_test,DAYS_REGISTRATION,float64,12618,48744,0,
application_test,DAYS_ID_PUBLISH,int64,5880,48744,0,
application_test,OWN_CAR_AGE,float64,52,16432,32312,
application_test,FLAG_MOBIL,int64,2,48744,0,
application_test,FLAG_EMP_PHONE,int64,2,48744,0,
application_test,FLAG_WORK_PHONE,int64,2,48744,0,
application_test,FLAG_CONT_MOBILE,int64,2,48744,0,
application_test,FLAG_PHONE,int64,2,48744,0,
application_test,FLAG_EMAIL,int64,2,48744,0,
application_test,OCCUPATION_TYPE,object,18,33139,15605,
application_test,CNT_FAM_MEMBERS,float64,12,48744,0,
application_test,REGION_RATING_CLIENT,int64,3,48744,0,
application_test,REGION_RATING_CLIENT_W_CITY,int64,4,48744,0,
application_test,WEEKDAY_APPR_PROCESS_START,object,7,48744,0,
application_test,HOUR_APPR_PROCESS_START,int64,24,48744,0,
application_test,REG_REGION_NOT_LIVE_REGION,int64,2,48744,0,
application_test,REG_REGION_NOT_WORK_REGION,int64,2,48744,0,
application_test,LIVE_REGION_NOT_WORK_REGION,int64,2,48744,0,
application_test,REG_CITY_NOT_LIVE_CITY,int64,2,48744,0,
application_test,REG_CITY_NOT_WORK_CITY,int64,2,48744,0,
application_test,LIVE_CITY_NOT_WORK_CITY,int64,2,48744,0,
application_test,ORGANIZATION_TYPE,object,58,48744,0,
application_test,EXT_SOURCE_1,float64,27207,28212,20532,
application_test,EXT_SOURCE_2,float64,38885,48736,8,
application_test,EXT_SOURCE_3,float64,702,40076,8668,
application_test,APARTMENTS_AVG,float64,1543,24857,23887,
application_test,BASEMENTAREA_AVG,float64,2816,21103,27641,
application_test,YEARS_BEGINEXPLUATATION_AVG,float64,175,25888,22856,
application_test,YEARS_BUILD_AVG,float64,130,16926,31818,
application_test,COMMONAREA_AVG,float64,2042,15249,33495,
application_test,ELEVATORS_AVG,float64,181,23555,25189,
application_test,ENTRANCES_AVG,float64,200,25165,23579,
application_test,FLOORSMAX_AVG,float64,252,25423,23321,
application_test,FLOORSMIN_AVG,float64,198,16278,32466,
application_test,LANDAREA_AVG,float64,2540,20490,28254,
application_test,LIVINGAPARTMENTS_AVG,float64,1211,15964,32780,
application_test,LIVINGAREA_AVG,float64,3848,25192,23552,
application_test,NONLIVINGAPARTMENTS_AVG,float64,241,15397,33347,
application_test,NONLIVINGAREA_AVG,float64,2026,22660,26084,
application_test,APARTMENTS_MODE,float64,636,24857,23887,
application_test,BASEMENTAREA_MODE,float64,2835,21103,27641,
application_test,YEARS_BEGINEXPLUATATION_MODE,float64,160,25888,22856,
application_test,YEARS_BUILD_MODE,float64,132,16926,31818,
application_test,COMMONAREA_MODE,float64,2001,15249,33495,
application_test,ELEVATORS_MODE,float64,26,23555,25189,
application_test,ENTRANCES_MODE,float64,30,25165,23579,
application_test,FLOORSMAX_MODE,float64,25,25423,23321,
application_test,FLOORSMIN_MODE,float64,25,16278,32466,
application_test,LANDAREA_MODE,float64,2560,20490,28254,
application_test,LIVINGAPARTMENTS_MODE,float64,602,15964,32780,
application_test,LIVINGAREA_MODE,float64,3842,25192,23552,
application_test,NONLIVINGAPARTMENTS_MODE,float64,106,15397,33347,
application_test,NONLIVINGAREA_MODE,float64,2025,22660,26084,
application_test,APARTMENTS_MEDI,float64,918,24857,23887,
application_test,BASEMENTAREA_MEDI,float64,2805,21103,27641,
application_test,YEARS_BEGINEXPLUATATION_MEDI,float64,169,25888,22856,
application_test,YEARS_BUILD_MEDI,float64,129,16926,31818,
application_test,COMMONAREA_MEDI,float64,2034,15249,33495,
application_test,ELEVATORS_MEDI,float64,43,23555,25189,
application_test,ENTRANCES_MEDI,float64,43,25165,23579,
application_test,FLOORSMAX_MEDI,float64,47,25423,23321,
application_test,FLOORSMIN_MEDI,float64,44,16278,32466,
application_test,LANDAREA_MEDI,float64,2562,20490,28254,
application_test,LIVINGAPARTMENTS_MEDI,float64,843,15964,32780,
application_test,LIVINGAREA_MEDI,float64,3885,25192,23552,
application_test,NONLIVINGAPARTMENTS_MEDI,float64,134,15397,33347,
application_test,NONLIVINGAREA_MEDI,float64,2030,22660,26084,
application_test,FONDKAPREMONT_MODE,object,4,15947,32797,
application_test,HOUSETYPE_MODE,object,3,25125,23619,
application_test,TOTALAREA_MODE,float64,3820,26120,22624,
application_test,WALLSMATERIAL_MODE,object,7,24851,23893,
application_test,EMERGENCYSTATE_MODE,object,2,26535,22209,
application_test,OBS_30_CNT_SOCIAL_CIRCLE,float64,28,48715,29,
application_test,DEF_30_CNT_SOCIAL_CIRCLE,float64,8,48715,29,
application_test,OBS_60_CNT_SOCIAL_CIRCLE,float64,27,48715,29,
application_test,DEF_60_CNT_SOCIAL_CIRCLE,float64,7,48715,29,
application_test,DAYS_LAST_PHONE_CHANGE,float64,3579,48744,0,
application_test,FLAG_DOCUMENT_2,int64,1,48744,0,
application_test,FLAG_DOCUMENT_3,int64,2,48744,0,
application_test,FLAG_DOCUMENT_4,int64,2,48744,0,
application_test,FLAG_DOCUMENT_5,int64,2,48744,0,
application_test,FLAG_DOCUMENT_6,int64,2,48744,0,
application_test,FLAG_DOCUMENT_7,int64,2,48744,0,
application_test,FLAG_DOCUMENT_8,int64,2,48744,0,
application_test,FLAG_DOCUMENT_9,int64,2,48744,0,
application_test,FLAG_DOCUMENT_10,int64,1,48744,0,
application_test,FLAG_DOCUMENT_11,int64,2,48744,0,
application_test,FLAG_DOCUMENT_12,int64,1,48744,0,
application_test,FLAG_DOCUMENT_13,int64,1,48744,0,
application_test,FLAG_DOCUMENT_14,int64,1,48744,0,
application_test,FLAG_DOCUMENT_15,int64,1,48744,0,
application_test,FLAG_DOCUMENT_16,int64,1,48744,0,
application_test,FLAG_DOCUMENT_17,int64,1,48744,0,
application_test,FLAG_DOCUMENT_18,int64,2,48744,0,
application_test,FLAG_DOCUMENT_19,int64,1,48744,0,
application_test,FLAG_DOCUMENT_20,int64,1,48744,0,
application_test,FLAG_DOCUMENT_21,int64,1,48744,0,
application_test,AMT_REQ_CREDIT_BUREAU_HOUR,float64,3,42695,6049,
application_test,AMT_REQ_CREDIT_BUREAU_DAY,float64,3,42695,6049,
application_test,AMT_REQ_CREDIT_BUREAU_WEEK,float64,3,42695,6049,
application_test,AMT_REQ_CREDIT_BUREAU_MON,float64,7,42695,6049,
application_test,AMT_REQ_CREDIT_BUREAU_QRT,float64,8,42695,6049,
application_test,AMT_REQ_CREDIT_BUREAU_YEAR,float64,16,42695,6049,
installments_payments,installments_payments,SK_ID_PREV,int64,997752,13605401,0,
installments_payments,SK_ID_CURR,int64,339587,13605401,0,
installments_payments,NUM_INSTALMENT_VERSION,float64,65,13605401,0,
installments_payments,NUM_INSTALMENT_NUMBER,int64,277,13605401,0,
installments_payments,DAYS_INSTALMENT,float64,2922,13605401,0,
installments_payments,DAYS_ENTRY_PAYMENT,float64,3039,13602496,2905,
installments_payments,AMT_INSTALMENT,float64,902539,13605401,0,
installments_payments,AMT_PAYMENT,float64,944235,13602496,2905,
POS_CASH_balance,POS_CASH_balance,SK_ID_PREV,int64,936325,10001358,0,
POS_CASH_balance,SK_ID_CURR,int64,337252,10001358,0,
POS_CASH_balance,MONTHS_BALANCE,int64,96,10001358,0,
POS_CASH_balance,CNT_INSTALMENT,float64,73,9975287,26071,
POS_CASH_balance,CNT_INSTALMENT_FUTURE,float64,79,9975271,26087,
POS_CASH_balance,NAME_CONTRACT_STATUS,object,9,10001358,0,
POS_CASH_balance,SK_DPD,int64,3400,10001358,0,
POS_CASH_balance,SK_DPD_DEF,int64,2307,10001358,0,
